Company legal name,Company name,Bud,additional Buds,Regex,additional Regex,Symbols[market_name],OHCHR25/UN/2025-09-26,OHCHR23/UN/2023-06-30,UNSR_OPT/UN/2025-01-01,DBIO/NGO/2024-01-01,TEST/FREEPORTS/2025-01-01
Nof Yam Security Ltd,Nof Yam Security Ltd,nof yam,nof security,\bnof yam\b,,,1,1,0,0,0
NSO Group Technologies Ltd,NSO Group Technologies,nso group,nso technolog,\bnso group\b,,,0,0,1,0,1
NVIDIA Corporation,NVIDIA,,,,,,0,0,0,0,1
Ofertex Industries 1997 Ltd,Ofertex Industries,ofertex,,\bofertex\b,,,1,1,0,0,0
"Olenik Transportation Earth Work and Road
Constructions Ltd.","Olenik Transportation Earth Work and Road
Constructions",olenik,,\bolenik\b,,,1,0,0,0,0
Opodo Ltd,Opodo Ltd,opodo,,\bopodo\b,,,0,1,0,0,0
Orbia Advance Corporation SAB de CV,Orbia Corp.,orbia,,\borbia\b,,ORBIA | MXCHY[2],0,0,1,1,1
Oron Group Investments & Holdings Ltd.,Oron Group Investments & Holdings,oron group,oron investments | oron holdings,\boron group\b,,,1,0,0,0,0
Palantir Technologies Inc,Palantir Technologies,palantir,,\bpalantir\b,,PLTR,0,0,1,0,1
Partner Communication Company Ltd,Partner Communication Company,partner communication,partner company,\bpartner communication\b,,PNTR,1,1,0,1,0
Paz Retail and Energy Ltd,Paz Retail and Energy Ltd,paz retail and energy,paz retail | paz energy | paz oil company,\bpaz retail and energy\b,,PAZ | PZZPF[2],1,1,1,1,1
Pelephone Communications Ltd,Pelephone Communications,pelephone,,\bpelephone\b,,,1,1,0,0,0
Petróleo Brasileiro SA,Petróleo Brasileiro,,petrobras | petroleo,,,PBR,0,0,1,0,1
Powergen Solar A Ltd.,Powergen Solar,powergen,,\bpowergen\b,,,1,0,0,0,0
Proffimat S.R. Ltd,Proffimat Ltd,proffimat,,\bproffimat\b,,,1,1,0,0,0
Rami Levy Chain Stores Hashikma Marketing 2006 Ltd,Rami Levy Chain Stores Hashikma Marketing,rami levy,rami chain | rami stores | rami hashikma | rami marketing,\brami levy\b,,RMLI | RLEVF[2],1,1,0,0,0
Rami Levy Hashikma Marketing Communications Ltd,Rami Levy Hashikma,,,,,,1,1,0,0,0
Re/Max Israel,Remax Israel,remax,,\bremax\b,,RMAX,1,1,0,1,0
Reshet Cafe cafe Israel Ltd,Reshet Cafe Israel,reshet caf,cafe cafe israel | cafe israel,\breshet caf\b,,,1,1,0,0,0
